City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kelibia,36.8476,11.0939,26.56,65,0,3.84,TN,1721506018
1,adamstown,-25.066,-130.1015,15.8,86,100,9.14,PN,1721505740
2,puerto natales,-51.7236,-72.4875,7.25,61,40,12.86,CL,1721505749
3,east london,-33.0153,27.9116,14.64,68,94,6.01,ZA,1721506022
4,dudinka,69.4058,86.1778,6.3,69,0,6.18,RU,1721506024
5,vorgashor,67.5833,63.95,4.37,69,8,3.16,RU,1721505771
6,inverloch,-38.6333,145.7167,7.81,89,80,6.13,AU,1721506026
7,pisz,53.6274,21.8125,17.3,63,96,1.86,PL,1721506028
8,wailua homesteads,22.0669,-159.378,26.74,73,100,2.68,US,1721505788
9,west island,-12.1568,96.8225,26.99,83,20,7.72,CC,1721505752
10,saipan,15.1355,145.701,28.39,89,75,2.57,MP,1721505798
11,margaret river,-33.95,115.0667,16.27,67,100,9.66,AU,1721506033
12,bredasdorp,-34.5322,20.0403,7.75,88,21,1.75,ZA,1721506034
13,puerto ayora,-0.7393,-90.3518,25.98,89,77,3.58,EC,1721506035
14,longyearbyen,78.2186,15.6401,9.91,66,0,6.69,SJ,1721506036
15,iqaluit,63.7506,-68.5145,7.1,62,69,2.85,CA,1721506038
16,ironwood,46.4547,-90.171,26.12,69,0,1.54,US,1721506039
17,mount pearl,47.5166,-52.7813,19.48,63,1,2.69,CA,1721506040
18,leava,-14.3,-178.1667,27.35,69,93,8.81,WF,1721506042
19,waitangi,-43.9535,-176.5597,10.46,98,100,7.15,NZ,1721506043
20,saldanha,-33.0117,17.9442,11.94,73,8,2.83,ZA,1721506044
21,argo,37.6333,22.7333,29.88,49,0,0.66,GR,1721506045
22,loen,7.7601,168.2307,28.13,78,12,5.96,MH,1721506047
23,usogorsk,63.4106,48.6872,10.8,61,2,2.67,RU,1721506048
24,howrah,22.5892,88.3103,28.0,94,40,2.57,IN,1721506049
25,ferkessedougou,9.6,-5.2,24.81,85,100,2.55,CI,1721506051
26,la passe,45.5549,-0.8967,22.13,89,29,3.25,FR,1721505767
27,labasa,-16.4167,179.3833,24.62,80,0,2.72,FJ,1721506055
28,san antonio de pale,-1.4014,5.6325,22.8,75,48,5.3,GQ,1721506056
29,susuman,62.7833,148.1667,11.18,86,100,3.76,RU,1721506057
30,columbia falls,48.3725,-114.1815,33.96,25,0,2.06,US,1721506059
31,igarka,67.4667,86.5833,8.69,61,96,8.53,RU,1721506060
32,enewetak,11.3474,162.3373,28.56,77,24,7.65,MH,1721506061
33,crane,31.3974,-102.3501,35.86,25,0,4.75,US,1721506063
34,jalai nur,49.45,117.7,17.3,79,5,0.84,CN,1721506064
35,natal,-5.795,-35.2094,27.12,65,75,6.69,BR,1721505765
36,ribeira grande,38.5167,-28.7,25.22,88,20,4.63,PT,1721506068
37,taoudenni,22.6783,-3.9836,42.29,6,15,6.67,ML,1721505833
38,talnakh,69.4865,88.3972,8.51,65,0,6.7,RU,1721506072
39,hamilton,39.1834,-84.5333,30.35,47,75,5.66,US,1721505494
40,keflavik,64.0049,-22.5624,11.24,82,0,3.6,IS,1721506075
41,anadyr,64.75,177.4833,11.28,76,40,7.0,RU,1721506076
42,papatowai,-46.5619,169.4708,7.23,95,42,2.39,NZ,1721506077
43,kirakira,-10.4544,161.9205,26.0,86,5,3.36,SB,1721506079
44,lihue,21.9789,-159.3672,28.58,67,40,5.14,US,1721506080
45,hawaiian paradise park,19.5933,-154.9731,27.8,76,75,4.12,US,1721506081
46,essaouira,31.5125,-9.77,20.91,87,0,10.86,MA,1721506083
47,jamestown,42.097,-79.2353,25.81,43,0,3.6,US,1721505893
48,polyarnyy,69.1989,33.4478,13.86,76,79,1.48,RU,1721506085
49,port-aux-francais,-49.35,70.2167,1.1,74,9,6.53,TF,1721506087
50,gadzhiyevo,69.2551,33.3362,13.26,79,87,2.11,RU,1721506088
51,blackmans bay,-43.0167,147.3167,4.18,92,0,0.89,AU,1721506089
52,hermanus,-34.4187,19.2345,8.22,78,55,0.69,ZA,1721506091
53,minas de marcona,-15.2119,-75.1103,14.28,62,40,6.13,PE,1721506092
54,vanimo,-2.6741,141.3028,24.87,94,100,0.84,PG,1721506093
55,mount isa,-20.7333,139.5,9.87,50,10,0.0,AU,1721506095
56,port mathurin,-19.6833,63.4167,22.65,75,11,6.25,MU,1721505835
57,edinburgh of the seven seas,-37.0676,-12.3116,13.23,78,30,8.31,SH,1721506097
58,cockburn town,21.4612,-71.1419,27.98,78,100,8.23,TC,1721506099
59,happy valley-goose bay,53.3168,-60.3315,13.41,73,100,2.36,CA,1721506100
60,utrik,11.2278,169.8474,27.57,82,11,8.0,MH,1721506101
61,ushuaia,-54.8,-68.3,3.28,87,100,4.49,AR,1721506103
62,new plymouth,-39.0667,174.0833,11.56,100,59,3.28,NZ,1721506104
63,shimanovsk,52.0,127.7,16.19,98,100,1.65,RU,1721506105
64,georgetown,5.4112,100.3354,28.96,74,20,1.03,MY,1721506107
65,taikang,46.8333,124.4167,19.95,95,0,3.69,CN,1721506108
66,xiaoweizhai,26.1903,107.5125,22.36,97,100,2.16,CN,1721506109
67,tecolotlan,20.2167,-104.05,26.33,56,54,1.05,MX,1721506111
68,saudarkrokur,65.7461,-19.6394,6.61,94,100,2.55,IS,1721506112
69,tiksi,71.6872,128.8694,6.63,64,95,1.37,RU,1721506113
70,poggio di chiesanuova,43.9045,12.4214,24.24,71,0,2.06,SM,1721506116
71,lianshan,40.7643,120.8533,22.38,97,28,2.57,CN,1721506117
72,codrington,-38.2667,141.9667,7.17,98,96,5.15,AU,1721506119
73,bilibino,68.0546,166.4372,14.71,80,100,0.93,RU,1721506120
74,laguna,38.421,-121.4238,39.8,24,0,2.57,US,1721506121
75,hasaki,35.7333,140.8333,25.22,88,100,3.47,JP,1721506122
76,lebu,-37.6167,-73.65,8.71,68,0,8.28,CL,1721506039
77,jerez de garcia salinas,22.65,-103.0,24.67,38,99,2.55,MX,1721506125
78,grytviken,-54.2811,-36.5092,-3.45,53,3,3.7,GS,1721506126
79,coahuayana de hidalgo,18.7,-103.6583,32.3,55,91,3.11,MX,1721506128
80,moree,-29.4667,149.85,4.46,76,2,3.57,AU,1721506129
81,kalmunai,7.4167,81.8167,27.25,67,100,3.79,LK,1721506130
82,atafu village,-8.5421,-172.5159,28.3,76,99,10.66,TK,1721506132
83,flagstaff,35.1981,-111.6513,33.66,18,75,5.66,US,1721506133
84,kabalo,-6.05,26.9167,28.61,25,2,1.2,CD,1721506134
85,roseburg,43.2165,-123.3417,29.54,39,0,2.06,US,1721505947
86,vilyuchinsk,52.9306,158.4028,12.15,85,100,0.85,RU,1721506137
87,qaqortoq,60.7167,-46.0333,5.85,90,100,2.82,GL,1721506138
88,albany,42.6001,-73.9662,29.7,61,100,1.34,US,1721506025
89,kristiansund,63.1115,7.732,22.36,53,63,4.12,NO,1721506141
90,chokwe,-24.5333,32.9833,18.45,91,54,2.36,MZ,1721506142
91,port isabel,26.0734,-97.2086,35.04,73,100,2.68,US,1721506144
92,colonia,50.9333,6.95,24.21,86,20,7.72,DE,1721506145
93,kenai,60.5544,-151.2583,22.79,52,0,4.12,US,1721506147
94,namanga,-2.5433,36.7905,22.1,54,100,3.39,KE,1721506148
95,rio grande,-32.035,-52.0986,15.06,90,100,3.47,BR,1721506151
96,sel'tso,53.3675,34.1,15.41,90,13,2.39,RU,1721506153
97,punta arenas,-53.15,-70.9167,7.06,65,75,16.46,CL,1721506025
98,arraial do cabo,-22.9661,-42.0278,21.98,83,0,4.12,BR,1721505949
99,slavyanka,42.8633,131.3847,19.36,100,100,0.85,RU,1721506157
100,howard springs,-12.497,131.047,17.95,55,98,2.97,AU,1721506158
101,kosan,38.8558,127.4181,22.07,97,79,5.44,KP,1721506160
102,turbat,26.0023,63.044,33.15,52,100,2.22,PK,1721506161
103,iquique,-20.2208,-70.1431,16.02,81,56,1.02,CL,1721506000
104,isafjordur,66.0755,-23.124,5.65,68,100,3.97,IS,1721506164
105,sabang,5.8933,95.3214,29.2,77,100,8.34,ID,1721506165
106,carnarvon,-24.8667,113.6333,15.26,45,0,6.55,AU,1721506166
107,margate,51.3813,1.3862,22.61,70,64,3.09,GB,1721505904
108,kingston,17.997,-76.7936,31.53,74,75,7.2,JM,1721505991
109,dul'durga,50.6761,113.5931,17.12,59,96,1.1,RU,1721506170
110,katra,32.9833,74.95,27.26,68,57,2.77,IN,1721506089
111,khandyga,62.6667,135.6,12.2,99,100,0.85,RU,1721506173
112,college,64.8569,-147.8028,22.26,44,20,1.54,US,1721506174
113,fale old settlement,-9.3852,-171.2468,28.39,74,81,10.45,TK,1721506176
114,constantia,44.1833,28.65,24.38,73,0,3.07,RO,1721506177
115,avarua,-21.2078,-159.775,23.03,64,75,10.8,CK,1721506178
116,tual,-5.6667,132.75,25.09,87,100,10.42,ID,1721505882
117,bumba,2.1833,22.4667,22.27,96,100,0.9,CD,1721506181
118,vadso,70.0744,29.7487,13.49,100,100,2.57,NO,1721506182
119,camana,-16.6228,-72.7111,14.79,84,93,1.84,PE,1721506184
120,kani keli,-12.9536,45.1033,23.59,61,5,2.75,YT,1721506185
121,port saint john's,-31.6229,29.5448,16.06,62,47,2.13,ZA,1721506186
122,tidjikja,18.5564,-11.4271,36.45,22,0,5.4,MR,1721506188
123,bethel,41.3712,-73.414,28.08,73,100,4.0,US,1721506004
124,orchard homes,46.8633,-114.0484,37.3,19,0,2.24,US,1721506190
125,uitenhage,-33.7576,25.3971,12.02,79,17,4.7,ZA,1721506192
126,lompoc,34.6391,-120.4579,26.99,73,0,7.72,US,1721506193
127,port lincoln,-34.7333,135.8667,12.72,83,20,7.23,AU,1721506194
128,the bottom,17.6259,-63.2492,29.07,75,25,7.21,BQ,1721506196
129,ancud,-41.8697,-73.8203,7.04,80,99,1.63,CL,1721506197
130,conduaga,8.862,117.4893,25.32,87,100,2.06,PH,1721506198
131,thompson,55.7435,-97.8558,28.8,26,17,2.58,CA,1721506199
132,opuwo,-18.0607,13.84,17.38,21,6,1.46,NA,1721506201
133,labuan bajo,-8.4964,119.8877,22.34,81,3,2.32,ID,1721506203
134,aasiaat,68.7098,-52.8699,6.6,80,58,2.72,GL,1721506204
135,chonchi,-42.6128,-73.8092,8.4,89,100,0.34,CL,1721506206
136,kapuskasing,49.4169,-82.4331,21.0,35,3,3.7,CA,1721506207
137,dwarka,22.2394,68.9678,28.77,88,68,6.49,IN,1721506208
138,juneau,58.3019,-134.4197,16.0,88,100,2.57,US,1721506210
139,kasimov,54.9411,41.3953,16.05,93,17,2.47,RU,1721506212
140,murzuq,25.9155,13.9184,32.38,17,0,3.74,LY,1721506214
141,salekhard,66.53,66.6019,5.56,75,0,2.64,RU,1721506215
142,taro,-8.3862,115.28,22.0,98,81,0.75,ID,1721506216
143,yellowknife,62.456,-114.3525,21.9,69,100,0.89,CA,1721506218
144,alice,27.7523,-98.0697,36.94,39,0,3.6,US,1721506219
145,katsuura,35.1333,140.3,25.14,93,100,3.2,JP,1721506220
146,takahagi,36.7167,140.7167,21.77,100,100,1.3,JP,1721506222
147,karratha,-20.7377,116.8463,18.36,41,59,5.95,AU,1721506223
148,punta alta,-38.8759,-62.0736,7.08,53,100,0.82,AR,1721506034
149,mount gambier,-37.8333,140.7667,8.73,98,66,3.31,AU,1721506226
150,puerto armuelles,8.2833,-82.8667,29.98,87,100,0.45,PA,1721506071
151,egilsstadir,65.2653,-14.3948,10.75,79,100,1.84,IS,1721506228
152,kodiak,57.79,-152.4072,19.73,52,75,4.63,US,1721506232
153,bludenz,47.1497,9.8167,22.51,62,5,1.98,AT,1721506234
154,burang,30.25,81.1667,12.1,73,100,2.18,CN,1721506235
155,port alfred,-33.5906,26.891,14.94,64,59,8.84,ZA,1721506236
156,port elizabeth,-33.918,25.5701,12.4,81,28,1.79,ZA,1721506238
157,northam,51.0333,-4.2167,15.77,95,100,3.04,GB,1721506239
158,sola,-13.8833,167.55,26.68,81,32,6.76,VU,1721506240
159,hluti,-27.2167,31.6167,13.91,92,31,1.21,SZ,1721506241
160,upper grand lagoon,30.1633,-85.7408,32.24,73,40,2.06,US,1721506243
161,nova sintra,14.8667,-24.7167,26.04,83,13,2.57,CV,1721506244
162,mejit,10.2753,170.8646,27.82,81,21,7.07,MH,1721506245
163,kerman,30.2832,57.0788,30.75,18,6,4.44,IR,1721506247
164,schollnach,48.75,13.1833,20.98,89,4,1.69,DE,1721506248
165,udachny,66.4167,112.4,15.65,82,100,2.74,RU,1721506249
166,flying fish cove,-10.4217,105.6791,24.82,83,75,5.14,CX,1721506251
167,roshchino,60.2519,29.6085,15.21,92,19,2.43,RU,1721506252
168,bakchar,57.0186,82.0711,16.21,98,100,1.83,RU,1721506253
169,iskilip,40.7353,34.4739,23.49,52,28,2.51,TR,1721506255
170,erenhot,43.6475,111.9767,26.15,46,98,1.74,CN,1721506256
171,tasqala,51.1167,50.3167,27.16,36,76,4.76,KZ,1721506257
172,uturoa,-16.7333,-151.4333,24.54,69,14,10.78,PF,1721506260
173,vila velha,-20.3297,-40.2925,22.97,83,20,4.63,BR,1721506262
174,mukdahan,16.5833,104.5,24.52,96,100,1.63,TH,1721506264
175,i-n-salah,27.1935,2.4607,38.62,10,0,5.4,DZ,1721506267
176,namibe,-15.1961,12.1522,16.91,86,73,0.77,AO,1721506268
177,freetown,8.484,-13.2299,25.28,88,100,5.46,SL,1721506269
178,hadibu,12.65,54.0333,26.04,80,89,10.71,YE,1721506271
179,tateyama,34.9833,139.8667,26.17,93,100,2.64,JP,1721506272
180,tulun,54.5611,100.5792,16.83,94,100,1.51,RU,1721506273
181,lucheng,31.2336,117.2806,26.95,84,97,3.03,CN,1721506275
182,gornozavodsk,58.3758,58.3211,12.86,94,100,4.34,RU,1721506276
183,cannonvale,-20.2833,148.7,16.66,70,14,1.39,AU,1721506277
184,angaur state,6.906,134.13,28.18,80,100,4.93,PW,1721506279
185,nkhata bay,-11.6066,34.2907,21.22,66,0,1.56,MW,1721506280
186,vatutine,49.015,31.0621,20.05,47,93,3.56,UA,1721506281
187,kailua-kona,19.6406,-155.9956,27.98,87,0,5.66,US,1721506283
188,inhambane,-23.865,35.3833,20.71,79,14,4.35,MZ,1721506284
189,fiambala,-27.6871,-67.6149,15.49,32,91,5.13,AR,1721506287
190,remire-montjoly,4.9167,-52.2667,31.02,66,0,2.57,GF,1721506288
191,walvis bay,-22.9575,14.5053,12.83,78,5,3.56,NA,1721506289
192,olonkinbyen,70.9221,-8.7187,4.25,96,100,4.17,SJ,1721506291
193,goundi,9.3627,17.366,21.86,97,100,1.67,TD,1721506292
194,korsor,55.3299,11.1386,19.01,68,0,4.5,DK,1721506293
195,port hueneme,34.1478,-119.1951,38.62,66,0,3.09,US,1721506190
196,pisco,-13.7,-76.2167,19.03,63,0,7.2,PE,1721506076
197,invercargill,-46.4,168.35,3.86,96,69,1.65,NZ,1721506297
198,tshabong,-26.05,22.45,10.27,26,16,3.95,BW,1721506299
199,hobyo,5.3505,48.5268,24.31,81,100,11.16,SO,1721506300
200,badger,64.8,-147.5333,22.21,46,0,1.54,US,1721506301
201,antsiranana,-12.2787,49.2917,20.41,71,5,4.71,MG,1721506303
202,xining,36.6167,101.7667,16.97,87,98,1.08,CN,1721506304
203,luganville,-15.5333,167.1667,25.26,90,92,4.53,VU,1721506305
204,bolszewo,54.618,18.1759,19.36,85,7,1.45,PL,1721506307
205,ilulissat,69.2167,-51.1,13.01,50,94,1.54,GL,1721506308
206,ebon,4.582,168.6964,28.97,74,28,6.08,MH,1721506309
207,carutapera,-1.195,-46.02,27.03,75,97,4.69,BR,1721506311
208,prince george,53.9166,-122.753,29.2,38,8,0.72,CA,1721506312
209,basoko,1.2391,23.616,22.11,95,100,1.0,CD,1721506313
210,alofi,-19.0595,-169.9187,23.94,83,41,1.54,NU,1721506315
211,sal rei,16.1833,-22.9167,24.36,82,0,6.08,CV,1721506316
212,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,1.0,RU,1721506317
213,lazaro cardenas,17.9583,-102.2,30.43,60,100,1.0,MX,1721506319
214,novo cruzeiro,-17.4681,-41.8753,21.35,47,1,2.09,BR,1721506320
215,la ronge,55.1001,-105.2842,31.14,30,5,1.54,CA,1721506322
216,puerto ayacucho,5.6639,-67.6236,24.59,88,99,1.03,VE,1721506323
217,arauco,-37.2463,-73.3175,11.66,58,0,2.31,CL,1721506324
218,krasnyy chikoy,50.3643,108.7512,18.59,70,100,1.7,RU,1721506326
219,teknaf,20.8624,92.3058,27.33,89,100,5.81,BD,1721506327
220,cranfield,52.0687,-0.6088,20.72,92,89,0.89,GB,1721506329
221,holualoa,19.6228,-155.9522,25.91,89,0,5.66,US,1721506295
222,ejea de los caballeros,42.1263,-1.1372,28.12,62,79,6.1,ES,1721506332
223,fuerte olimpo,-21.0415,-57.8738,34.52,17,0,2.97,PY,1721506333
224,mitu,1.1983,-70.1733,25.99,90,72,0.56,CO,1721506335
225,saint-pierre,-21.3393,55.4781,19.76,77,0,2.06,RE,1721506336
226,oamaru,-45.0784,170.9801,5.38,81,15,1.87,NZ,1721506337
227,puerto baquerizo moreno,-0.9,-89.6,22.55,78,100,6.69,EC,1721506339
228,yemva,62.59,50.8594,12.39,63,0,2.65,RU,1721506340
229,palmer,42.1584,-72.3287,29.13,53,75,5.14,US,1721506342
230,bafra,41.5678,35.9069,23.69,91,0,2.04,TR,1721506343
231,tsiombe,-25.3,45.4833,17.64,74,1,1.38,MG,1721506345
232,soe,-9.8607,124.284,14.77,95,40,1.89,ID,1721506346
233,warwick,41.7001,-71.4162,29.86,55,75,6.17,US,1721506348
234,mantua,45.1667,10.7833,27.58,79,0,3.49,IT,1721506349
235,whitehorse,60.7161,-135.0538,21.72,37,59,2.39,CA,1721506350
236,sisimiut,66.9395,-53.6735,13.42,60,7,5.45,GL,1721506352
237,khorixas,-20.3667,14.9667,15.32,31,3,2.07,NA,1721506353
238,victoria falls,-17.9235,25.843,17.87,27,0,1.18,ZW,1721506355
239,ar rutbah,33.0381,40.2848,31.76,25,0,1.86,IQ,1721506356
240,pama,11.2497,0.7075,24.2,88,100,1.79,BF,1721506358
241,luanda,-8.8368,13.2343,20.1,90,1,4.44,AO,1721506359
242,jieshi,22.8134,115.8257,28.98,82,6,4.0,CN,1721506360
243,kapa'a,22.0752,-159.319,28.99,69,40,5.14,US,1721506362
244,sitka,57.0531,-135.33,14.94,88,100,2.06,US,1721506208
245,taco pozo,-25.6167,-63.2833,21.26,50,48,1.62,AR,1721506365
246,stanley,54.868,-1.6985,20.1,83,20,2.06,GB,1721506366
247,ikom,5.9667,8.7063,22.59,98,96,1.31,NG,1721506368
248,medea,36.2642,2.7539,28.5,29,0,1.65,DZ,1721506370
249,merizo village,13.2658,144.6691,27.21,93,99,5.22,GU,1721506372
250,bonthe,7.5264,-12.505,24.92,91,100,5.61,SL,1721506373
251,aral,40.5156,81.2636,29.04,32,0,3.48,CN,1721506375
252,gaalkacyo,6.7697,47.4308,26.61,51,100,10.84,SO,1721506376
253,yung shue wan,22.2333,114.1167,29.82,89,22,0.45,HK,1721506378
254,butterworth,5.3991,100.3638,29.02,74,20,1.03,MY,1721506379
255,rawson,-43.3002,-65.1023,12.62,38,1,4.78,AR,1721506381
256,gebeit,21.0667,36.3167,31.35,25,76,1.81,SD,1721506382
257,sao jose da coroa grande,-8.8978,-35.1478,23.83,81,54,6.6,BR,1721506384
258,nampula,-15.1165,39.2666,19.97,77,0,2.57,MZ,1721506385
259,ust-nera,64.5667,143.2,13.07,97,100,2.59,RU,1721506386
260,anqiu,36.4342,119.1925,24.26,98,50,3.24,CN,1721506388
261,kerikeri,-35.2268,173.9474,13.28,95,59,2.24,NZ,1721506389
262,labytnangi,66.6572,66.4183,5.76,74,0,2.24,RU,1721506391
263,illapel,-31.6308,-71.1653,12.17,74,0,3.76,CL,1721506392
264,cox's bazar,21.4532,91.9798,26.88,92,100,6.33,BD,1721506394
265,ekibastuz,51.6667,75.3667,22.39,55,92,2.77,KZ,1721506395
266,atlanta,33.749,-84.388,28.75,73,75,3.09,US,1721506397
267,nar'yan-mar,67.6713,53.087,6.08,81,10,2.66,RU,1721506398
268,bryan,30.6744,-96.37,33.3,48,40,3.6,US,1721506399
269,midvagur,62.0511,-7.1939,11.46,100,100,3.6,FO,1721506401
270,livingston,55.9029,-3.5226,16.74,94,100,2.57,GB,1721506402
271,klaksvik,62.2266,-6.589,11.51,98,100,6.73,FO,1721506404
272,puerto deseado,-47.7503,-65.8938,7.56,65,100,6.37,AR,1721506405
273,cabo san lucas,22.8909,-109.9124,33.61,51,0,2.57,MX,1721505932
274,nchelenge,-9.3451,28.734,20.25,51,0,1.36,ZM,1721506408
275,piacabucu,-10.4056,-36.4344,23.66,68,3,4.05,BR,1721506409
276,faya-largeau,17.9257,19.1043,33.28,39,33,4.51,TD,1721506411
277,harper,4.375,-7.7169,24.26,84,99,5.4,LR,1721506412
278,de haan,51.272,3.0429,21.99,71,20,3.09,BE,1721506414
279,vernon,50.2581,-119.2691,35.52,18,0,1.03,CA,1721506415
280,fordingbridge,50.9275,-1.7903,18.81,96,75,1.54,GB,1721506417
281,ofunato,39.0717,141.7167,21.75,91,100,2.49,JP,1721506418
282,castletown,53.0281,-9.0686,13.27,83,0,5.17,IE,1721506420
283,ringkobing,56.0901,8.244,18.99,77,0,2.06,DK,1721506422
284,cacheu,12.2706,-16.1658,29.05,83,26,3.55,GW,1721506424
285,ar raqqah,35.95,39.0167,32.82,39,0,10.88,SY,1721506425
